Scraped Date,Job Title,Job Description,Location,Additional Locations,Posted Date,Job ID,Remote Type,Application URL
2026-02-27,Firm Training Manager,"Are you a collaborative professional with a proven ability to build effective relationships and foster teamwork across dispersed and diverse groups? This role leads strategic learning initiatives that strengthen firm capabilities, support change initiatives and enable sustainable growth. It is responsible for building and delivering end‑to‑end training that enables Career Development Managers (CDMs), firm staff, and leaders to execute workflows with speed, accuracy, and full compliance. They will navigate and cultivate relationships with new and existing firms and ensure expeditious operational readiness. This role goes beyond training delivery to serve as a strategic partner, aligning firm learning initiatives with business priorities, and long-term growth. Strong relationship management with new and existing firms is essential to promote seamless onboarding and sustained operational excellence. You are A clear and proactive communicator who can translate complex regulatory and operational steps into simple, teachable processes for dispersed audiences. A facilitation expert—equally comfortable running live virtual sessions, in‑person workshops, and on‑demand learning. A process thinker who maps workflows, identifies failure points (e.g., NIGO drivers), and designs training that prevents rework. A self‑starter who thrives in fast‑moving environments, managing multiple training cycles and stakeholder needs with sound judgment on when to escalate. A collaborator who builds trust with field leaders, office managers, and functional partners to embed training into day‑to‑day operations. You will As a key member of our team, you will navigate and cultivate relationships with new and existing firms and ensure expeditious operational readiness. Key components of the work you will drive include: Architect and Execute learning strategies for ACL licensing & Firm New Business processing Own the end-to-end firm learning strategy, integrating onboarding, and continuous improvement to advance organizational priorities. Translate business needs into scalable learning solutions. Advance organizational effectiveness through impactful learning and development initiatives. Ensure knowledge transfer and sustained application of learning in day-to-day work. Strengthen leadership and operational readiness through continuous capability development. Measure and improve Use field usage and feedback to iterate content, retiring low‑value materials and promoting high‑impact guides/videos. Act as an integral member of the Firm Resource Group, offering support and backup to other functions as required. Manage the administration of the Agency Management Program (AMP) by coordinating roster reviews, overseeing role approval and verification cycles, and ensuring participants meet AMP role and compliance requirements in partnership with SMEs and agency contacts. The role manages the annual Broker Appointment Sweep by identifying appointments with no new business in the past two years, confirming exceptions, and coordinating with compliance, data, and operations teams to ensure accurate terminations and reinstatements. This includes reviewing resident‑state and out‑of‑territory considerations, monitoring appointment fees, and helping control costs while ensuring brokers can be reappointed quickly when new business is submitted. You have 5+ years in insurance/financial services with direct experience in agent contracting & licensing and/or new business processing. Demonstrated curriculum design and facilitation experience (virtual and in‑person). Strong process mapping, documentation, and SOP development skills. Proficiency with learning tools (LMS, virtual facilitation platforms) and productivity apps (Excel/Sheets, PowerPoint/Slides). Data literacy—able to define metrics, build simple dashboards, and use insights to improve training impact. Travel Up to 50% travel within the U.S. for onsite training, firm onboarding, and key rollouts (as business needs dictate). Salary Range: $86,210.00 - $141,635.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",Remote - United States,,2026-02-26,R000108727,Fully Remote,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Remote---United-States/Firm-Training-Manager_R000108727
2026-02-27,Firm Transition Specialist,"Are you someone who is collaborative with a strong track record of building effective relationships and fostering teamwork across dispersed and diverse groups? This role serves as a key liaison between field leadership, internal departments, and external partners to deliver seamless transitions and support strategic growth. The right colleague will join our team to help achieve the Journey to 30 vision of Guardian. They will navigate and cultivate relationships with new and existing firms and ensure operational continuity, system readiness, and stakeholder alignment across Guardian’s network. You are Skilled in clear, proactive communication and stakeholder engagement to support seamless firm lifecycle events and operational growth. A self-starter that can manage competing and unpredictable priorities in a fast-paced dynamic environment and demonstrates sound judgement in recognizing when escalation is necessary. A team player who can collaborate effectively in a dispersed team setting to engage others to accomplish meaningful work. You will As a key member of our team, this role will lead organizational and operational efforts for all varieties of transitions. The Firm Transitions Specialist is responsible for managing and executing firm lifecycle events including term mergers, new firm onboarding, leadership changeovers, and corporate real estate (CRE) transitions. Key components of the work you will drive include: Lead and coordinate Term Mergers of firms, including planning, execution, and post-transition support. Facilitate onboarding for New PD, PO and CDM firms, including checklist reviews, system setup, and mentoring assignments. Oversee CRE projects related to office openings, closures, relocations, and satellite site setup Partner with other Practice Development resources as needed to help define deliverables, drive execution, and measure results. Regularly assess and optimize procedures to improve the firm transition process by identifying gaps and recommending improvements to enhance efficiency and reduce risk. Act as an integral member of the team, offering support and backup to other functions as required. You have 8+ years of experience in financial services, including deep familiarity with Career Agency Distribution systems and operations of firms. Strong project management and organizational skills. Experience with operational readiness planning and agency onboarding. Understanding of compliance and supervisory structures within financial services. Comfort with data tracking, reporting, and process optimization. Travel Up to 25% travel within US Salary Range: $68,970.00 - $113,310.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",Remote - United States,,2026-02-26,R000108725,Fully Remote,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Remote---United-States/Firm-Transition-Specialist_R000108725
2026-02-27,Lead of Underwriting Transformation and Modernization,"Do you want to shape the future of life underwriting and lead the organization through a modernization journey? As the Lead of Underwriting Transformation and Modernization, this AVP level role will drive the transformation of Guardian’s life underwriting ecosystem, including technology modernization, workflow redesign, automation, digital underwriting capabilities, and the adoption of next-generation tools. You will champion innovation while aligning with our values of We do the right thing, We believe people count, We courageously shape our future together, and We go above and beyond for the people we serve. You are A forward-thinking transformation leader who inspires change, leads through ambiguity, and thrives at the intersection of underwriting, technology, and strategy. You influence stakeholders across functions, reconcile competing priorities, and make decisions that shape the long-term future of underwriting. You have Minimum 10+ years of life underwriting experience, including oversight of high dollar cases, complex and impaired-risk cases, appeals, facultative submissions, and escalations requiring senior-level judgement. Proven experience leading underwriting modernization or transformation efforts, such as system enhancements, workflow redesign, automation, underwriting engine improvements, or adoption of digital tools. Deep life underwriting experience, including oversight of large dollar amount, complex, impaired‑risk, and escalated cases requiring senior‑level judgment. Experience developing and implementing strategic plans, budgets, and policies to achieve business objectives. Strong familiarity with underwriting technologies and data sources, and the ability to work with Technology and Product teams to evolve system capabilities. Strong knowledge of underwriting guidelines, risk assessment, and regulatory requirements. Experience leading and developing underwriting managers , including oversight of cases above individual retention levels that require advanced judgment and senior‑level underwriting expertise. Experience collaborating with reinsurance partners , including applying treaty provisions, navigating facultative submissions, and resolving complex treaty‑related case questions. You will Lead underwriting transformation initiatives, guiding modernization of systems, tools, workflow design, and digital underwriting capabilities to support Guardian’s future state operating model. Oversee the Underwriting Transformation Specialists, setting direction, prioritizing modernization work, and ensuring new capabilities are successfully implemented and adopted across underwriting teams. Direct life underwriting operations across multiple teams, setting priorities and allocating resources to align with business objectives. Champion adoption of modern underwriting tools and processes, ensuring seamless integration into daily workflows. Build and maintain strong relationships with reinsurance partners, ensuring effective treaty application, resolving complex facultative issues, and collaborating on process improvements. Strengthen partnerships with distribution leaders, agencies, and field partners to ensure alignment and service excellence. Develop and communicate strategic plans and budgets, ensuring operational execution and alignment with corporate goals. Provide leadership to subordinate people leaders, coaching and developing talent to build a high-performing organization. Oversee underwriting-related reporting, including operational dashboards, capacity and productivity metrics, and risk reporting in partnership with underwriting risk teams. Partner with Claims to understand and monitor claims exposure, trends, and root-cause insights relevant to underwriting practices and mortality expectations. Ensure operational excellence, including adherence to underwriting guidelines, quality standards, and regulatory compliance. Resolve systemic impediments to excellence, ensuring customer satisfaction and operational efficiency. Negotiate key agreements and manage vendor relationships to support underwriting modernization and risk governance. Reporting Relationships As our Lead of Underwriting Operations, you will report to our Head of Life Underwriting Risk & Excellence. Location This is a remote position. Salary Range: $110,350.00 - $181,285.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",Remote - United States,,2026-02-26,R000108520,Fully Remote,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Remote---United-States/Lead-of-Underwriting-Transformation-and-Operations_R000108520
2026-02-27,,,,,,,,
2026-02-27,Head of Wealth Management Marketing,"The Head of Wealth Management Marketing will own the strategic direction, execution, and ongoing evolution of marketing for the Wealth Management division. This person will report to the Head of Financial Protection and Retirement Services (FPRS) and Client Solutions and Wealth Management (CSWM) Marketing, and will shape the long‑term marketing vision, drive growth across established and emerging distribution channels, and oversee a high‑performing team responsible for delivering compelling, data‑driven marketing programs. This role requires a visionary marketer with deep experience in wealth management, including successfully building or scaling a Registered Investment Advisor (RIA) platform; experience in creating a marketing strategy for a new business and experience in building a strategy and execution of sales campaigns. The ideal candidate excels in fast‑paced, dynamic environments, is a strong communicator, and has a proven ability to influence senior levels across the organization. You Will Develop and lead the comprehensive marketing strategy for the Wealth Management business, driving business growth, channel diversification, and brand presence. Build, scale, and optimize efforts across distribution channels including existing and new. Build a marketing strategy for a new wealth management business inclusive of enablement and sales campaigns. Lead and develop a team of marketers responsible for core marketing functions including day-to-day execution. Oversee the creation of compelling, high‑quality marketing collateral across platforms to support client engagement, wholesaler enablement, and advisor productivity. Partner closely with senior leadership, Product, Sales, Business teams, Legal, Compliance, IT, and Marketing and Communications to ensure alignment on business priorities and execution. Leverage deep industry knowledge to assess competitor activity, market dynamics, regulatory changes, and consumer trends, translating insights into strategic action. Serve as a key leader in standing up or expanding RIA offerings, including marketing infrastructure, advisor onboarding experience, and brand positioning. Ensure compliance with all regulatory and brand standards across communications and marketing initiatives. You Have Bachelor's degree in marketing, business, finance, or a related field; MBA preferred. Extensive experience in wealth management marketing roles, with deep RIA expertise (including demonstrated experience building or scaling an RIA platform or channel). Deep understanding of the US Wealth landscape and the needs of HNW & affluent investors. Proven record of establishing go to market strategies for fund manager partnerships Proven success leading teams, driving strategic marketing initiatives, and influencing senior leadership. Exceptional communication, leadership, and organizational skills. Expertise in sales enablement, distribution strategy, content development, and regulatory requirements. Strong analytical abilities with a track record of making data‑driven decisions in fast‑moving environments. Key Stakeholders Key partners include Wealth Management leadership, Line of Business teams, Marketing, Communications, Compliance, Legal, Digital, Distribution, and Sales. Location & Travel: This role is hybrid with 3 days a week in our Hudson Yards Location Up to 25% Travel Salary Range: $132,420.00 - $217,545.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",New York,,2026-02-26,R000108661,Hybrid - In office 3 days per week,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/New-York/Head-of-Wealth-Management-Marketing_R000108661
2026-02-27,Senior Analyst - Actuarial,"Job Description: Position Objective and Responsibilities The candidate will be a key member of the Guardian India Actuarial Team , with ongoing partnership and support to the Strategic Initiatives and Inforce Management Team. Key Responsibilities include: Experience Studies Lead and review mortality, persistency, and surrender experience studies for life and annuity products. Design, enhance, and maintain repeatable analytical tools to improve efficiency, transparency, and controls in experience studies. Perform detailed data validation, reconciliation, and diagnostics to ensure high-quality inputs for actuarial analysis and assumption setting. Translate experience study results into clear insights and recommendations for stakeholders. Data Analytics & Reporting Work on the monthly, quarterly, and annual experience monitoring reports for business partners. Identify trends, emerging risks, and anomalies in business performance and proactively communicate findings. Drive automation and simplification of recurring reports , reducing manual effort and increasing timeliness and accuracy. Assumption Setting & Governance Develop and maintain best-estimate assumptions for actuarial models using company experience, industry studies, and external research. Partner with pricing, valuation, risk, and finance teams to ensure assumptions are consistent, appropriate, and well understood . Underwriting & Reinsurance Support Perform protective value and underwriting impact studies to quantify the financial implications of changes in underwriting rules or practices. Quality & Continuous Improvement Act as a technical resource . Proactively identify opportunities to improve data quality, analytical rigor, and process efficiency . Build and maintain strong, collaborative relationships with business partners Consistently demonstrate Guardian’s Core Values by acting with integrity, holding high professional standards, and delivering long-term business value. Skills, Knowledge, and Behaviors Advanced proficiency in MS Excel , including complex formulas, controls, and model design. Strong hands-on experience with actuarial and analytical tools such as VBA, SQL/MS Access, Python, Strong understanding of life insurance and annuity products , experience analysis, and assumption development. Excellent analytical, problem-solving, and critical-thinking skills with the ability to interpret complex results. Ability to clearly communicate technical concepts to non-technical stakeholders. Proven capability to manage priorities . Demonstrated mindset of continuous improvement, automation, and efficiency gains . High level of professionalism, accountability, and alignment with organizational values. Education and Experience 2-3 years of progressive experience in actuarial roles, preferably within life insurance. 4+ actuarial exams (CM1 & CS1 is preferable) Strong practical experience in experience studies, data analytics and assumption setting . Bachelor’s degree . Location: This position can be based in any of the following locations: Gurgaon Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday",Gurgaon,,2026-02-26,R000108736,,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Gurgaon/Senior-Analyst---Actuarial_R000108736-1
2026-02-27,Lead Platform Engineer,"Lead Platform Engineer We are looking for a Lead Software Engineer to design, build, and scale critical backend systems and platforms that power sophisticated, long‑running workflows and data‑intensive applications. This role combines hands‑on technical leadership with strong cross‑team collaboration, focusing on system reliability, data integrity, and scalable architecture. You will develop systems that manage processes. You will be responsible for core data models and transformations in PostgreSQL/MySQL. You will collaborate with product, data, and infrastructure teams to deliver valuable solutions. You Are: A technical leader working across product, data, platform, and infrastructure teams . An advocate for pragmatic engineering practices that balance speed and quality. You Will: Design and own long‑running, stateful workflow architectures (sagas, orchestrated workflows, async processing). Build scalable backend services and APIs with a focus on reliability, correctness, and maintainability. Make architectural decisions around service boundaries, data ownership, and consistency models. Review designs and code to ensure high engineering standards across teams. Implement and operate workflow orchestration systems for multi‑step, long‑running processes. Handle retries, idempotency, compensation, failure recovery, and observability for workflows. Integrate background processing, event‑driven systems, and message queues where appropriate. Ensure workflows scale reliably under load and evolving business requirements. Own S QL schema design, query performance, indexing strategies, and migrations. Develop and carry out database transformations and data pipelines to support evolving product needs. Ensure data integrity, transactional correctness, and backward‑compatible schema evolution. Partner with data teams to align operational data models with analytical and reporting needs. Translate business requirements into clear technical designs and execution plans. Mentor engineers through code reviews, design discussions, and technical coaching. Drive alignment on shared patterns, standards, and best practices across teams. Define and uphold reliability standards (SLAs/SLOs) for critical services and workflows. Implement logging, metrics, and tracing to provide deep visibility into system behavior. Lead incident analysis, root cause reviews, and preventative improvements. Continuously improve system resilience, scalability, and operational simplicity. Build shared libraries, frameworks, and tooling to accelerate team development. Improve local development, testing, and deployment workflows. Document system architecture, workflows, and operational runbooks. You Have: 7–10 years of software engineering experience , with demonstrated technical leadership. Strong experience designing long‑running, distributed workflow systems . Deep knowledge of PostgreSQL/MySQL , including schema design, performance tuning, and migrations. Proven ability to design and implement database transformations and data‑heavy systems. Strong backend development skills (e.g., Dotnet (C#), Typescript, Python, Java, Kotlin, Go, or similar). Experience building and operating production services and APIs. Ability to work effectively across multiple teams and disciplines . Strong system design, debugging, and problem‑solving skills. Education : Bachelor's degree in Computer Science, Engineering, or a related field, or equivalent experience. Location: Three days a week at a Guardian office in New York, NY, Holmdel, NJ or Bethlehem, PA. Salary Range: $118,980.00 - $195,465.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",Holmdel,"Bethlehem, New York",2026-02-25,R000108427,Hybrid - In office 3 days per week,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/Holmdel/Lead-Platform-Engineer_R000108427
2026-02-27,,,,,,,,
2026-02-27,,,,,,,,
2026-02-27,Lead Software Engineer.,"Overview We are seeking a highly motivated Technical Lead / Lead Software Engineer to join our team. In this role, you will be a part of shaping Guardian’s most critical customer-facing digital experiences, utilizing various frameworks such as React, Next and Node. This position requires technical familiarity with building scalable, performant web applications in AWS, working collaboratively with a team of engineers, collaborating with business leaders, UI/UX, data and leadership to create best-in-class experiences for our customers. What you will get to do: Be Creative - have the freedom to innovate, modernize and create technical solutions to solve complex business problems Be Collaborative - work with product and design to deliver robust user experiences. Be Precise - understand the business goals behind every feature and create a solution that can deliver Be Awesome - launch products that you can be proud of What you bring to the table: 10+ years of experience delivering resilient, highly performant, public-facing web applications that have had demonstrative business impact. Highly proficient in Javascript/Typescript (Node/React/Next/NestJS/Jest), including advanced patterns to architect large applications, build strategies to maintain these apps in good standards and mentor the team in the appropriate standards. Extensive experience in API development best practices (REST/GraphQL) and integration with third-party systems. Experience with Redis, micro-frontends and micro-services desirable. Mastery of web fundamentals, including vanilla Javascript, HTML, CSS, and web core vitals performance management. Experience developing complex applications in an Agile environment as part of a team of engineers, designers, product experts, marketers, and strategists Experience with modern web application development, including building tools, testing, CI/CD and AWS. Strong problem-solving skills and attention to detail. Working knowledge of security best practices, e.g.: OWASP, dealing with PII data. Excitement, energy, and strong people skills including excellent written and verbal communication. BA/BS degree in computer science or relevant history Location: 3 days a week at a Guardian office in New York, NY, Bethlehem, PA or Holmdel, NJ Salary Range: $118,980.00 - $195,465.00 The salary range reflected above is a good faith estimate of base pay for the primary location of the position. The salary for this position ultimately will be determined based on the education, experience, knowledge, and abilities of the successful candidate. In addition to salary, this role may also be eligible for annual, sales, or other incentive compensation. Our Promise At Guardian, you’ll have the support and flexibility to achieve your professional and personal goals.  Through skill-building, leadership development and philanthropic opportunities, we provide opportunities to build communities and grow your career, surrounded by diverse colleagues with high ethical standards. Inspire Well-Being As part of Guardian’s Purpose – to inspire well-being – we are committed to offering contemporary, supportive, flexible, and inclusive benefits and resources to our colleagues. Explore our company benefits at www.guardianlife.com/careers/corporate/benefits . Benefits apply to full-time eligible employees. Interns are not eligible for most Company benefits. Equal Employment Opportunity Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law. Accommodations Guardian is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Guardian also provides reasonable accommodations to qualified job applicants (and employees) to accommodate the individual's known limitations related to pregnancy, childbirth, or related medical conditions, unless doing so would create an undue hardship. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact MyHR@glic.com. Please note: this resource is for accommodation requests only. For all other inquires related to your application and careers at Guardian, refer to the Guardian Careers site. Visa Sponsorship Guardian is not currently or in the foreseeable future sponsoring employment visas.  In order to be a successful applicant. you must be legally authorized to work in the United States, without the need for employer sponsorship. Current Guardian Colleagues: Please apply through the internal Jobs Hub in Workday.",New York,Holmdel,2026-02-24,R000108159,Hybrid - In office 3 days per week,https://guardianlife.wd5.myworkdayjobs.com/Guardian-Life-Careers/job/New-York/Lead-Software-Engineer_R000108159
